# KD4 Worktree Review Ledger

Review scope: the complete dirty worktree frozen before repair and validation.
Frozen inventory: 185 original paths (158 modified, 26 deleted, 1 untracked); no staged paths, renames, copies, type changes, or submodules.
Baseline: branch `main`, HEAD `52be9e924db6daf0f220db2c705b38418e6e6a6a`.
Method: every current file was read byte-for-byte; every deleted path was read completely from its HEAD blob; every patch, caller/reference route, owner/manifest edge, generated artifact relationship, persistence surface, and publish impact was audited.
Row contract: `ID | status | exact original path | attribution | complete-review/caller result | confirmed bug | possible bug | unfinished wiring | regression risk | lifecycle/concurrency | contradiction | publish risk | disposition`.
Exactly one primary row follows for every path in the frozen inventory.

## Counts and verdict

- Files reviewed: 185 / 185.
- Confirmed bugs: 1.
- Possible bugs remaining after semantic review: 0.
- Unfinished wiring findings: 0.
- Regression findings: 1 (the same confirmed persistence defect).
- Lifecycle/concurrency findings: 0.
- Contradictions between intent and implementation: 0.
- Fixed issues: 19 (F01 plus 18 Clippy/compiler findings).
- Unresolved issues: 0.
- Analyzer findings: 18 Clippy/compiler findings, all repaired; cargo-shear 0; dead-code 0.
- Overall disposition: the coordinated runtime simplification, persistence repair, and analyzer repairs are validated and publish-ready.

## Primary path ledger

001 | M | .codex/config.toml | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
002 | M | .codex/harness/README.md | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
003 | M | .codex/harness/templates/ORCHESTRATOR.md | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
004 | M | .codex/harness/workflow.md | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
005 | M | SOURCEMAP.md | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
006 | M | codex-rs/Cargo.lock | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
007 | M | codex-rs/Cargo.toml | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
008 | M | codex-rs/agent-task-store/src/error.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
009 | M | codex-rs/agent-task-store/src/lib.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
010 | M | codex-rs/agent-task-store/src/local.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
011 | D | codex-rs/agent-task-store/src/manifest_storage.rs | task implementation | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep deletion
012 | M | codex-rs/agent-task-store/src/model.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
013 | M | codex-rs/agent-task-store/src/store.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
014 | M | codex-rs/agent-task-store/src/tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
015 | M | codex-rs/agent-task-store/src/workspace.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
016 | M | codex-rs/analytics/src/facts.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
017 | M | codex-rs/app-server-protocol/schema/json/ServerNotification.json | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
018 | M | codex-rs/app-server-protocol/schema/json/codex_app_server_protocol.schemas.json | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
019 | M | codex-rs/app-server-protocol/schema/json/codex_app_server_protocol.v2.schemas.json | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
020 | M | codex-rs/app-server-protocol/schema/json/v2/ErrorNotification.json | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
021 | M | codex-rs/app-server-protocol/schema/json/v2/ThreadForkResponse.json | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
